features_removed,accuracy,f1_macro
"avg_out_transaction,avg_in_time_interval",0.8293807641633728,0.8246240561257262
"avg_out_transaction,avg_out_time_interval",0.8297101449275363,0.8249430784956329
"avg_out_transaction,avg_active_duration",0.8227931488801054,0.8182111196339844
"avg_out_transaction,in_out_ratio",0.8234519104084321,0.8183665742777952
"avg_out_transaction,unique_in_ratio",0.8175230566534915,0.8116975327301184
"avg_out_transaction,unique_out_ratio",0.8237812911725956,0.819008770318
"avg_out_transaction,volume_ratio",0.8254281949934124,0.8204808953865104
"avg_out_transaction,net_balance_ratio",0.8264163372859025,0.8211075937018484
"avg_out_transaction,activity_index",0.8247694334650857,0.8198439046937902
"avg_out_transaction,time_interval_ratio",0.8283926218708827,0.8234695985501292
"avg_out_transaction,weighted_avg_tx",0.8247694334650857,0.8199242482015303
"avg_out_transaction,wallet_lifetime_sec",0.8148880105401844,0.8097272578043593
"total_received,total_sent",0.8247694334650857,0.8195985747953223
"total_received,net_balance",0.8280632411067194,0.8228668356042139
"total_received,avg_in_time_interval",0.827733860342556,0.8230683866846991
"total_received,avg_out_time_interval",0.8241106719367589,0.8190031791198942
"total_received,avg_active_duration",0.8227931488801054,0.8178527841614684
"total_received,in_out_ratio",0.8257575757575758,0.8206774655475133
"total_received,unique_in_ratio",0.819828722002635,0.814231270932921
"total_received,unique_out_ratio",0.8234519104084321,0.8182838214248067
"total_received,volume_ratio",0.8247694334650857,0.8198439046937902
"total_received,net_balance_ratio",0.827733860342556,0.8229114701222746
"total_received,activity_index",0.8287220026350461,0.8237884675829357
"total_received,time_interval_ratio",0.8264163372859025,0.8212323185892481
"total_received,weighted_avg_tx",0.8310276679841897,0.8261408104181469
"total_received,wallet_lifetime_sec",0.8165349143610013,0.8113567760603827
"total_sent,net_balance",0.8267457180500659,0.821915547340023
"total_sent,avg_in_time_interval",0.827733860342556,0.8229114701222746
"total_sent,avg_out_time_interval",0.822463768115942,0.8172876255767669
"total_sent,avg_active_duration",0.819828722002635,0.8150703213885506
"total_sent,in_out_ratio",0.8264163372859025,0.8213554335416626
"total_sent,unique_in_ratio",0.8234519104084321,0.818073761639708
"total_sent,unique_out_ratio",0.8241106719367589,0.8192873257773696
"total_sent,volume_ratio",0.8267457180500659,0.8214679078777731
"total_sent,net_balance_ratio",0.8293807641633728,0.8244662042460782
"total_sent,activity_index",0.8287220026350461,0.8238680483037459
"total_sent,time_interval_ratio",0.8293807641633728,0.8242649546785932
"total_sent,weighted_avg_tx",0.827733860342556,0.822831958551577
"total_sent,wallet_lifetime_sec",0.8096179183135704,0.8042664979567871
"net_balance,avg_in_time_interval",0.8274044795783926,0.8226321542436126
"net_balance,avg_out_time_interval",0.8260869565217391,0.8210368512646145
"net_balance,avg_active_duration",0.819828722002635,0.8146179791398175
"net_balance,in_out_ratio",0.8247694334650857,0.8194314201349341
"net_balance,unique_in_ratio",0.8237812911725956,0.8186848607674632
"net_balance,unique_out_ratio",0.825098814229249,0.8202427551725272
"net_balance,volume_ratio",0.827733860342556,0.8225891890363884
"net_balance,net_balance_ratio",0.8211462450592886,0.8161804445549572
"net_balance,activity_index",0.8267457180500659,0.8214679078777731
"net_balance,time_interval_ratio",0.8257575757575758,0.8207994379995873
"net_balance,weighted_avg_tx",0.827733860342556,0.822831958551577
"net_balance,wallet_lifetime_sec",0.8112648221343873,0.8060246680110321
"avg_in_time_interval,avg_out_time_interval",0.8260869565217391,0.8215131776731135
"avg_in_time_interval,avg_active_duration",0.8162055335968379,0.811533715467628
"avg_in_time_interval,in_out_ratio",0.8274044795783926,0.8225530189089212
